日期,单位净值,累计净值,涨跌幅
2023-07-19,1.0,1.0,--
2023-07-20,0.9995,0.9995,-0.05
2023-07-21,0.9984,0.9984,-0.11
2023-07-26,1.0023,1.0023,--
2023-07-27,0.9845,0.9845,-1.78
2023-07-28,0.9897,0.9897,0.53
2023-07-31,1.0011,1.0011,1.15
2023-08-01,0.9987,0.9987,-0.24
2023-08-02,1.005,1.005,0.63
2023-08-03,1.0035,1.0035,-0.15
2023-08-04,0.9984,0.9984,-0.51
2023-08-07,0.9983,0.9983,-0.01
2023-08-08,0.9938,0.9938,-0.45
2023-08-09,0.9852,0.9852,-0.87
2023-08-10,0.9925,0.9925,0.74
2023-08-11,0.9708,0.9708,-2.19
2023-08-14,0.965,0.965,-0.6
2023-08-15,0.9474,0.9474,-1.82
2023-08-16,0.9305,0.9305,-1.78
2023-08-17,0.937,0.937,0.7
2023-08-18,0.9253,0.9253,-1.25
2023-08-21,0.917,0.917,-0.9
2023-08-22,0.9243,0.9243,0.8
2023-08-23,0.8961,0.8961,-3.05
2023-08-24,0.9088,0.9088,1.42
2023-08-25,0.8917,0.8917,-1.88
2023-08-28,0.8898,0.8898,-0.21
2023-08-29,0.93,0.93,4.52
2023-08-30,0.9566,0.9566,2.86
2023-08-31,0.9755,0.9755,1.98
2023-09-01,0.9732,0.9732,-0.24
2023-09-04,0.9761,0.9761,0.3
2023-09-05,0.9785,0.9785,0.25
2023-09-06,1.0131,1.0131,3.54
2023-09-07,0.969,0.969,-4.35
2023-09-08,0.9765,0.9765,0.77
2023-09-11,0.9764,0.9764,-0.01
2023-09-12,0.9675,0.9675,-0.91
2023-09-13,0.9598,0.9598,-0.8
2023-09-14,0.9435,0.9435,-1.7
2023-09-15,0.9474,0.9474,0.41
2023-09-18,0.9313,0.9313,-1.7
2023-09-19,0.9202,0.9202,-1.19
2023-09-20,0.9068,0.9068,-1.46
2023-09-21,0.9002,0.9002,-0.73
2023-09-22,0.9199,0.9199,2.19
2023-09-25,0.918,0.918,-0.21
2023-09-26,0.9101,0.9101,-0.86
2023-09-27,0.9127,0.9127,0.29
2023-09-28,0.9382,0.9382,2.79
2023-10-09,0.9387,0.9387,0.05
2023-10-10,0.937,0.937,-0.18
2023-10-11,0.9415,0.9415,0.48
2023-10-12,0.9633,0.9633,2.32
2023-10-13,0.9604,0.9604,-0.3
2023-10-16,0.9323,0.9323,-2.93
2023-10-17,0.9467,0.9467,1.54
2023-10-18,0.9302,0.9302,-1.74
2023-10-19,0.9295,0.9295,-0.08
2023-10-20,0.9151,0.9151,-1.55
2023-10-23,0.8961,0.8961,-2.08
2023-10-24,0.9296,0.9296,3.74
2023-10-25,0.9246,0.9246,-0.54
2023-10-26,0.9253,0.9253,0.08
2023-10-27,0.9427,0.9427,1.88
2023-10-30,0.9649,0.9649,2.35
