日期,单位净值,累计净值,涨跌幅
2018-12-19,1.0,1.0,--
2018-12-21,0.999,0.999,--
2018-12-28,0.9994,0.9994,--
2018-12-31,0.9998,0.9998,--
2019-01-04,1.0006,1.0006,--
2019-01-10,1.0007,1.0007,--
2019-01-11,1.0009,1.0009,0.02
2019-01-17,1.0004,1.0004,--
2019-01-18,1.0051,1.0051,0.4698
2019-01-21,1.0057,1.0057,0.0597
2019-01-22,1.0009,1.0009,-0.4773
2019-01-23,1.0053,1.0053,0.4396
2019-01-24,1.008,1.008,0.2686
2019-01-25,1.0134,1.0134,0.5357
2019-01-28,1.0124,1.0124,-0.0987
2019-01-29,1.0192,1.0192,0.6717
2019-01-30,1.0156,1.0156,-0.3532
2019-01-31,1.0192,1.0192,0.3545
2019-02-01,1.0294,1.0294,1.0008
2019-02-11,1.038,1.038,0.8354
2019-02-12,1.0428,1.0428,0.4624
2019-02-13,1.0539,1.0539,1.0644
2019-02-14,1.0518,1.0518,-0.1993
2019-02-15,1.0338,1.0338,-1.7114
2019-02-18,1.0544,1.0544,1.9926
2019-02-19,1.0535,1.0535,-0.0854
2019-02-20,1.0549,1.0549,0.1329
2019-02-21,1.0484,1.0484,-0.6162
2019-02-22,1.0561,1.0561,0.7345
2019-02-25,1.0967,1.0967,3.8443
2019-02-26,1.0892,1.0892,-0.6839
2019-02-27,1.092,1.092,0.2571
2019-02-28,1.0893,1.0893,-0.2473
2019-03-01,1.1015,1.1015,1.12
2019-03-04,1.1153,1.1153,1.2528
2019-03-05,1.1266,1.1266,1.0132
2019-03-06,1.1365,1.1365,0.8788
2019-03-07,1.1304,1.1304,-0.5367
2019-03-08,1.0889,1.0889,-3.6713
2019-03-11,1.1069,1.1069,1.653
2019-03-12,1.1168,1.1168,0.8944
2019-03-13,1.1138,1.1138,-0.2686
2019-03-14,1.1021,1.1021,-1.0505
2019-03-15,1.1197,1.1197,1.597
2019-03-18,1.1519,1.1519,2.8758
2019-03-19,1.1504,1.1504,-0.1302
2019-03-20,1.155,1.155,0.3999
2019-03-21,1.1557,1.1557,0.0606
2019-03-22,1.1622,1.1622,0.5624
2019-03-25,1.1494,1.1494,-1.1014
2019-03-26,1.1349,1.1349,-1.2615
2019-03-27,1.1496,1.1496,1.2953
2019-03-28,1.1375,1.1375,-1.0525
2019-03-29,1.1666,1.1666,2.5582
2019-04-01,1.1962,1.1962,2.5373
2019-04-02,1.1947,1.1947,-0.1254
2019-04-03,1.2096,1.2096,1.2472
2019-04-04,1.2247,1.2247,1.2483
2019-04-08,1.2205,1.2205,-0.3429
2019-04-09,1.2259,1.2259,0.4424
2019-04-10,1.2281,1.2281,0.1795
2019-04-11,1.2124,1.2124,-1.2784
2019-04-12,1.2099,1.2099,-0.2062
2019-04-15,1.2037,1.2037,-0.5124
2019-04-16,1.2226,1.2226,1.5702
2019-04-17,1.2267,1.2267,0.3354
2019-04-18,1.2156,1.2156,-0.9049
2019-04-19,1.2212,1.2212,0.4607
2019-04-22,1.1924,1.1924,-2.3583
2019-04-23,1.184,1.184,-0.7045
2019-04-24,1.1856,1.1856,0.1351
2019-04-25,1.1549,1.1549,-2.5894
2019-04-26,1.1413,1.1413,-1.1776
2019-04-29,1.142,1.142,0.0613
2019-04-30,1.1548,1.1548,1.1208
2019-05-06,1.0988,1.0988,-4.8493
2019-05-07,1.109,1.109,0.9283
2019-05-08,1.0995,1.0995,-0.8566
2019-05-09,1.0843,1.0843,-1.3824
2019-05-10,1.1156,1.1156,2.8867
2019-05-13,1.1061,1.1061,-0.8516
2019-05-14,1.099,1.099,-0.6419
2019-05-15,1.1168,1.1168,1.6197
2019-05-16,1.1244,1.1244,0.6805
2019-05-17,1.0977,1.0977,-2.3746
2019-05-20,1.0872,1.0872,-0.9565
2019-05-21,1.1004,1.1004,1.2141
2019-05-22,1.0953,1.0953,-0.4635
2019-05-23,1.0835,1.0835,-1.0773
2019-05-24,1.0881,1.0881,0.4246
2019-05-27,1.1018,1.1018,1.2591
2019-05-28,1.1077,1.1077,0.5355
2019-05-29,1.103,1.103,-0.4243
2019-05-30,1.1066,1.1066,0.3264
2019-05-31,1.1062,1.1062,-0.0361
2019-06-03,1.1056,1.1056,-0.0542
2019-06-04,1.098,1.098,-0.6874
2019-06-05,1.0992,1.0992,0.1093
2019-06-06,1.0923,1.0923,-0.6277
2019-06-10,1.1021,1.1021,0.8972
2019-06-11,1.1247,1.1247,2.0506
2019-06-12,1.1169,1.1169,-0.6935
2019-06-13,1.1123,1.1123,-0.4119
2019-06-14,1.1039,1.1039,-0.7552
2019-06-17,1.1029,1.1029,-0.0906
2019-06-18,1.1026,1.1026,-0.0272
2019-06-19,1.1157,1.1157,1.1881
2019-06-20,1.1349,1.1349,1.7209
2019-06-21,1.1372,1.1372,0.2027
2019-06-24,1.1372,1.1372,0
2019-06-25,1.127,1.127,-0.8969
2019-06-26,1.1267,1.1267,-0.0266
2019-06-27,1.1337,1.1337,0.6213
2019-06-28,1.1285,1.1285,-0.4587
2019-06-30,1.1284,1.1284,--
2019-07-01,1.1501,1.1501,1.914
2019-07-02,1.1544,1.1544,0.3739
2019-07-03,1.157,1.157,0.2252
2019-07-04,1.1564,1.1564,-0.0519
2019-07-05,1.159,1.159,0.2248
2019-07-08,1.1343,1.1343,-2.1311
2019-07-09,1.1355,1.1355,0.1058
2019-07-10,1.1294,1.1294,-0.5372
2019-07-11,1.1285,1.1285,-0.0797
2019-07-12,1.1348,1.1348,0.5583
2019-07-15,1.1378,1.1378,0.2644
2019-07-16,1.139,1.139,0.1055
2019-07-17,1.1391,1.1391,0.0088
2019-07-18,1.1295,1.1295,-0.8428
2019-07-19,1.1416,1.1416,1.0713
2019-07-22,1.1336,1.1336,-0.7008
2019-07-23,1.1373,1.1373,0.3264
2019-07-24,1.1439,1.1439,0.5803
2019-07-25,1.1487,1.1487,0.4196
2019-07-26,1.1494,1.1494,0.0609
2019-07-29,1.1505,1.1505,0.0957
2019-07-30,1.1562,1.1562,0.4954
2019-07-31,1.1471,1.1471,-0.7871
2019-08-01,1.1371,1.1371,-0.8718
2019-08-02,1.1242,1.1242,-1.1345
2019-08-05,1.1045,1.1045,-1.7524
2019-08-06,1.0895,1.0895,-1.3581
2019-08-07,1.0868,1.0868,-0.2478
2019-08-08,1.0995,1.0995,1.1686
2019-08-09,1.0903,1.0903,-0.8367
2019-08-12,1.1025,1.1025,1.119
2019-08-13,1.097,1.097,-0.4989
2019-08-14,1.0989,1.0989,0.1732
2019-08-15,1.1033,1.1033,0.4004
2019-08-16,1.1028,1.1028,-0.0453
2019-08-19,1.1224,1.1224,1.7773
2019-08-20,1.1195,1.1195,-0.2584
