date,portfolio_value,holding,benchmark_close,money_close,close_515080,MA120_515080,deviation_515080,close_510880,MA120_510880,deviation_510880,close_515180,MA120_515180,deviation_515180,close_513530,MA120_513530,deviation_513530,close_563020,MA120_563020,deviation_563020
2026-01-05,10000.0,华泰柏瑞港股通红利ETF,4.8437,100.0616,1.5532,1.5821600000000002,-0.018304090610305135,3.1798,3.2189116666666666,-0.012150587129086565,1.3743,1.4108016666666667,-0.025872996558694128,1.6075,1.6875933333333333,-0.0474600910961962,1.191,1.2267791666666665,-0.029165124122447872
2026-01-06,10059.720062208398,华泰柏瑞港股通红利ETF,4.9185,100.0655,1.5717,1.58207,-0.006554703647752569,3.2166,3.21849,-0.0005872319006738902,1.3906,1.4104941666666666,-0.014104394854521973,1.6171,1.6871933333333333,-0.041544339909672434,1.1924,1.226134166666667,-0.027512622667041242
2026-01-07,10055.987558320374,华泰柏瑞港股通红利ETF,4.904,100.0682,1.5724,1.5820591666666666,-0.006105439587963057,3.2311,3.2183733333333335,0.003954378609483777,1.3913,1.4102583333333336,-0.013443163486595466,1.6165,1.6867041666666667,-0.04162209832291275,1.1864,1.225535,-0.0319329925297932
2026-01-08,10018.662519440126,华泰柏瑞港股通红利ETF,4.864,100.0711,1.5673,1.5819283333333334,-0.009247152999977915,3.2245,3.218008333333333,0.0020172933051241237,1.3868,1.409915,-0.016394605348549418,1.6105,1.6862541666666668,-0.04492452452551399,1.179,1.2247991666666667,-0.03739320528059353
2026-01-09,10036.080870917574,华泰柏瑞港股通红利ETF,4.8861,100.0796,1.5726,1.5819858333333334,-0.0059329439844331144,3.2354,3.2180350000000004,0.005396150135097866,1.3915,1.4097416666666667,-0.012939722998894676,1.6133,1.6858625,-0.043041766454856245,1.1797,1.2241666666666666,-0.03632402995234851
2026-01-12,10046.656298600312,华泰柏瑞港股通红利ETF,4.9182,100.0838,1.578,1.5821325,-0.0026119809813652806,3.234,3.2181675,0.004919725278438758,1.3963,1.4096508333333335,-0.009471021488181797,1.615,1.6854891666666667,-0.04182119236403681,1.1819,1.2235908333333332,-0.03407252833020835
2026-01-13,10082.737169517886,华泰柏瑞港股通红利ETF,4.8887,100.0866,1.5727,1.5822383333333334,-0.0060283796267524,3.2284,3.2183350000000006,0.0031273935124838115,1.3915,1.4095225,-0.012786244987220918,1.6208,1.6852758333333333,-0.03825832665374751,1.1848,1.2230583333333336,-0.03128087376590116
2026-01-14,10094.556765163297,华泰柏瑞港股通红利ETF,4.8699,100.0893,1.5621,1.5821949999999998,-0.012700710089464162,3.1995,3.2181350000000006,-0.005790620965248738,1.3822,1.4092608333333334,-0.019202146751872817,1.6227,1.6849850000000002,-0.03696472075419077,1.1731,1.2223758333333332,-0.04031152448340003
2026-01-15,10101.39968895801,华泰柏瑞港股通红利ETF,4.8796,100.0922,1.5591,1.5819649999999998,-0.014453543536045332,3.189,3.21765,-0.008904013798890498,1.3795,1.4088300000000002,-0.020818693525833654,1.6238,1.6844583333333332,-0.036010586983946324,1.1704,1.2216699999999998,-0.041967143336580026
2026-01-16,10000.0,华泰柏瑞港股通红利ETF,4.8623,100.1007,1.5459,1.5814108333333334,-0.022455160028518883,3.1627,3.216511666666667,-0.0167298216960714,1.3679,1.4081058333333334,-0.02855313313925867,1.6075,1.6836708333333334,-0.045240929417616926,1.1608,1.2208633333333334,-0.04919742586530296
2026-01-19,9969.517884914465,华泰柏瑞港股通红利ETF,4.7418,100.1042,1.5586,1.5810066666666667,-0.014172404923445403,3.179,3.2155158333333334,-0.011356135446386473,1.3792,1.4075158333333333,-0.020117594887920087,1.6026,1.6827325,-0.04762046255123731,1.1628,1.22006,-0.04693211809255271
2026-01-20,10011.819595645413,华泰柏瑞港股通红利ETF,4.7257,100.1071,1.579,1.5807133333333332,-0.0010838988304857633,3.2146,3.2147358333333336,-4.2253342226517e-05,1.3972,1.4070225,-0.00698105396324511,1.6094,1.6817191666666667,-0.0430031173456924,1.1799,1.2194808333333331,-0.0324571180222184
2026-01-21,9957.698289269052,华泰柏瑞港股通红利ETF,4.7302,100.1098,1.5694,1.5804191666666665,-0.006972306397617034,3.0548,3.212754166666667,-0.04916472237605074,1.3887,1.40653,-0.012676587061776101,1.6007,1.6806524999999999,-0.04757229706914423,1.1703,1.2188916666666667,-0.03986545153725729
2026-01-22,10074.650077760498,华泰柏瑞港股通红利ETF,4.7306,100.1126,1.5807,1.5803558333333334,0.00021777795823396673,3.0751,3.2112899999999995,-0.042409748107458234,1.3988,1.4062449999999997,-0.00529424104619014,1.6195,1.6798008333333334,-0.03589760889311788,1.1724,1.2183558333333333,-0.03771954963896007
2026-01-23,10004.976671850702,华泰柏瑞港股通红利ETF,4.7109,100.1208,1.58,1.5802916666666667,-0.00018456508555908524,3.0648,3.2097858333333336,-0.0451699399466684,1.3982,1.4059591666666664,-0.005518770993230393,1.6083,1.6788791666666667,-0.0420394558869881,1.1693,1.2178541666666665,-0.039868621379817504
2026-01-26,10070.295489891136,华泰柏瑞港股通红利ETF,4.7151,100.1246,1.5903,1.5802783333333332,0.006341709846472199,3.1027,3.2084775,-0.032968128964594556,1.4073,1.4057183333333334,0.0011251661368860688,1.6188,1.6780416666666667,-0.035304049859707476,1.1754,1.2173608333333332,-0.03446869012405929
2026-01-27,10170.45101088647,华泰柏瑞港股通红利ETF,4.7136,100.1273,1.5768,1.5803816666666668,-0.0022663301797352098,3.0753,3.20738,-0.041180028559135606,1.3953,1.4055841666666666,-0.007316649483221971,1.6349,1.6775791666666666,-0.025440925540026638,1.169,1.2169375,-0.03939191618304139
2026-01-28,10410.575427682737,易方达红利低波 ETF,4.7256,100.1301,1.6012,1.5806891666666667,0.01297588024632712,3.1322,3.2067775,-0.02325621281800805,1.417,1.4056316666666668,0.008087704341701585,1.6735,1.677595,-0.002440994399721008,1.1717,1.2165383333333333,-0.0368573123466448
2026-01-29,10560.732229532905,易方达红利低波 ETF,4.7616,100.1329,1.6209,1.5811,0.025172348365062325,3.1682,3.2063374999999996,-0.011894412238262375,1.4344,1.4057691666666665,0.020366667595379306,1.6963,1.6777358333333332,0.011065011724630924,1.1886,1.2162191666666666,-0.022709037502149698
2026-01-30,10552.735713458042,易方达红利低波 ETF,4.7141,100.141,1.6048,1.581235,0.014902908169879936,3.1418,3.2053841666666667,-0.019836675843067253,1.4201,1.4056591666666667,0.010273353367429516,1.6706,1.6775133333333334,-0.004121179364694583,1.1877,1.2157641666666668,-0.02308356129923783
2026-02-02,10418.5719437576,易方达红利低波 ETF,4.6133,100.145,1.5548,1.58087,-0.01649091955695281,3.0438,3.2035208333333336,-0.04985790373872501,1.3758,1.4051041666666668,-0.020855511898584256,1.6415,1.6770225,-0.02118188634916951,1.1726,1.2151691666666666,-0.0350314736699896
2026-02-03,10399.913406249592,易方达红利低波 ETF,4.6674,100.1478,1.5665,1.58058,-0.008908122334839175,3.0508,3.201635,-0.04711186628082209,1.3862,1.4046158333333334,-0.013110939586684078,1.6536,1.6764975,-0.013657938648879542,1.1705,1.2145233333333332,-0.036247416681990274
2026-02-04,10557.17822238852,易方达红利低波 ETF,4.7058,100.1506,1.6083,1.5806316666666667,0.017504605226391634,3.1451,3.20053,-0.017319006539541992,1.4232,1.4044291666666666,0.013365453935911153,1.6746,1.6761341666666667,-0.0009153006347443204,1.1882,1.2140075,-0.02125810590132271
2026-02-05,10676.237461725339,易方达红利低波 ETF,4.6781,100.1534,1.6016,1.5806841666666667,0.013232139458599468,3.1336,3.1994966666666667,-0.020595947904305745,1.4172,1.4042441666666667,0.009226197011084736,1.6802,1.67585,0.0025956977056418307,1.2016,1.21367,-0.009945042721662412
2026-02-06,10640.697390281512,易方达红利低波 ETF,4.6534,100.1617,1.5977,1.58063,0.010799491342059708,3.1248,3.198224166666667,-0.02295779246243168,1.4138,1.4039633333333335,0.007006355816509879,1.6841,1.6754158333333333,0.0051832903174784395,1.1976,1.2132625,-0.01290940748601388
2026-02-09,10694.007497447252,易方达红利低波 ETF,4.7291,100.1653,1.6085,1.5807350000000002,0.017564613929595962,3.1433,3.1973158333333336,-0.016894118738660868,1.4234,1.403825,0.013944045732195987,1.6937,1.6750508333333334,0.011133492963646408,1.2036,1.2129575000000001,-0.007714614897883942
2026-02-10,10720.66255103012,易方达红利低波 ETF,4.7344,100.1682,1.6143,1.581015,0.021052931186611223,3.1568,3.1967266666666663,-0.012489859418696958,1.4286,1.403845,0.01763371312359996,1.7043,1.6748258333333332,0.017598347290837646,1.2066,1.2126824999999999,-0.005015739898942995
2026-02-11,10749.983109971277,易方达红利低波 ETF,4.724,100.171,1.6259,1.58136,0.028165629584661067,3.1865,3.1964308333333333,-0.0031068506878896285,1.439,1.4039233333333334,0.02498474513090687,1.7099,1.6747175,0.021008020755739265,1.2099,1.2124633333333332,-0.0021141532802365637
2026-02-12,10651.35941171466,易方达红利低波 ETF,4.7304,100.1739,1.6207,1.5816875000000001,0.024665112419488544,3.1805,3.19612,-0.004887175700536983,1.4344,1.4039858333333335,0.02166273045252698,1.7143,1.674765833333333,0.023605787674794376,1.1988,1.2121233333333334,-0.01099173076447113
2026-02-13,10538.519684880512,易方达红利低波 ETF,4.6708,100.2046,1.5973,1.5818325,0.009778216087986458,3.1341,3.1954399999999996,-0.019196104448839457,1.4136,1.4038866666666665,0.006918887089651271,1.6923,1.6746166666666666,0.010559630562218203,1.1861,1.2116716666666667,-0.02110445211367773
2026-02-24,10605.157318837686,易方达红利低波 ETF,4.7177,100.2081,1.6214,1.5820791666666667,0.024853897429279348,3.1915,3.1950433333333335,-0.0011090094761364577,1.435,1.4038766666666664,0.02216956380308832,1.7316,1.674823333333333,0.03390009294512675,1.1936,1.2111991666666666,-0.01453036556745757
2026-02-25,10589.164286687965,易方达红利低波 ETF,4.7463,100.211,1.6301,1.5823275,0.030191284674000896,3.1995,3.1945783333333333,0.001540631079636423,1.4427,1.4038666666666666,0.027661696267451852,1.7317,1.6749916666666667,0.033855889830297636,1.1918,1.2106591666666666,-0.015577602008822966
2026-02-26,10567.840243821669,易方达红利低波 ETF,4.737,100.2137,1.6254,1.5825575,0.027071686178859133,3.1968,3.1941316666666664,0.000835386143025918,1.4386,1.4038408333333334,0.024760048177351557,1.7063,1.6749766666666668,0.018700758020509634,1.1894,1.2101283333333335,-0.017129037278415526
2026-02-27,10600.714809907207,易方达红利低波 ETF,4.7211,100.2218,1.6416,1.5828258333333334,0.037132428236208215,3.234,3.193810833333333,0.012583452422171737,1.453,1.4038475000000001,0.035012706152199424,1.7181,1.6750633333333333,0.02569256087829519,1.1931,1.2095333333333333,-0.0135865071928567
2026-03-02,10704.6695188804,易方达红利低波 ETF,4.7387,100.2256,1.6636,1.5832925,0.05072183440520317,3.3045,3.1941583333333337,0.03454483314592505,1.4725,1.40403,0.04876676424292925,1.7143,1.6752133333333332,0.02333235170047998,1.2048,1.2090616666666667,-0.0035247719650361997
2026-03-03,10801.516213564824,易方达红利低波 ETF,4.6659,100.2285,1.6767,1.5841091666666667,0.058449780660108086,3.3643,3.1955125,0.05282016577935478,1.4841,1.4045275000000002,0.05665428409198103,1.7114,1.6755183333333334,0.021415263535363716,1.2157,1.2088700000000001,0.005649904456227706
2026-03-04,10665.57544029219,易方达红利低波 ETF,4.6124,100.2315,1.6497,1.5846725,0.04103529278131601,3.3051,3.1963358333333334,0.03402776564727894,1.4602,1.4048008333333333,0.039435602081196564,1.6853,1.6755141666666666,0.00584049572842571,1.2004,1.2085308333333333,-0.006727865859166515
2026-03-05,10693.118995661156,易方达红利低波 ETF,4.6572,100.2342,1.6478,1.5852283333333335,0.03947170596875105,3.2929,3.1972416666666663,0.029919018737505576,1.4586,1.4050675,0.038099593080047844,1.6864,1.6756908333333336,0.0063908964909495936,1.2035,1.2082658333333332,-0.0039443582710481095
2026-03-06,10747.31760461299,易方达红利低波 ETF,4.6704,100.2421,1.6509,1.5858416666666668,0.04102448226756561,3.2842,3.1982033333333333,0.026889055417572916,1.4613,1.4053858333333333,0.03978563419416847,1.7058,1.6760275,0.01776373001039655,1.2096,1.2080650000000002,0.0012706269944082749
2026-03-09,10752.648615329563,易方达红利低波 ETF,4.6253,100.2448,1.652,1.5864233333333333,0.04133617130358225,3.3111,3.1992525,0.03496051030670455,1.4623,1.405675,0.04028313799420191,1.6913,1.6762291666666667,0.008990914627325708,1.2102,1.2077841666666667,0.002000219410062787
2026-03-10,10721.551052816218,易方达红利低波 ETF,4.6847,100.2474,1.6397,1.5870125,0.03319917139909112,3.2649,3.20018,0.020223862407739546,1.4513,1.4059725,0.03223925076770695,1.6881,1.6764708333333334,0.00693669489229598,1.2067,1.207589166666667,-0.0007363155377761998
2026-03-11,10730.436070677173,易方达红利低波 ETF,4.7142,100.2509,1.6634,1.5878058333333334,0.04760920074715269,3.3145,3.201379166666667,0.03533503138621241,1.4724,1.4064516666666667,0.046889868238154886,1.7042,1.6769250000000002,0.016264889604484134,1.2077,1.2073758333333333,0.0002684886161516964
2026-03-12,10789.077188559486,易方达红利低波 ETF,4.697,100.2536,1.6834,1.588725,0.059591811043446796,3.383,3.2032225,0.05612395017829708,1.4901,1.4070416666666667,0.05903047173443099,1.7069,1.6772516666666666,0.017676735055661696,1.2143,1.2072633333333334,0.005828609610164959
2026-03-13,10810.40123142578,易方达红利低波 ETF,4.6789,100.2616,1.6772,1.5894925,0.05517956203001906,3.3651,3.2048791666666663,0.04999278443935107,1.4846,1.407495,0.05478172213755639,1.6871,1.677328333333333,0.005825732787359428,1.2167,1.2071591666666668,0.007903542131629804
2026-03-16,10807.735726067494,易方达红利低波 ETF,4.6813,100.2648,1.6654,1.5901325,0.04733410580564823,3.3331,3.2062341666666665,0.039568486498049005,1.4741,1.4078341666666667,0.047069345880581315,1.6887,1.6773408333333333,0.006772127906820913,1.2164,1.2070091666666667,0.007780250219032947
2026-03-17,10832.613776078173,易方达红利低波 ETF,4.6475,100.2674,1.653,1.5907341666666668,0.039142827656621915,3.3105,3.2074458333333333,0.0321296670377651,1.4632,1.4081408333333334,0.03910061079354632,1.6894,1.6771575,0.0072995529638688605,1.2192,1.2070008333333333,0.010107007658790801
2026-03-18,10793.519697489965,易方达红利低波 ETF,4.6679,100.2703,1.6282,1.5910725,0.02333488888784152,3.2958,3.208450833333333,0.027224717224642037,1.4545,1.4083241666666668,0.03278778737613064,1.6917,1.6769516666666668,0.008794727735146335,1.2148,1.2069208333333334,0.006528321037350571
2026-03-19,10750.871611757373,易方达红利低波 ETF,4.5928,100.273,1.6186,1.5913975,0.01709346659147082,3.3053,3.2096925,0.02978712135196737,1.4459,1.4084966666666667,0.026555500072180882,1.6852,1.6766791666666667,0.0050819700648354615,1.21,1.2068750000000001,0.002589331952356222
