日期,单位净值,累计净值,涨跌幅
2024-03-27,1.0,1.0,--
2024-03-29,1.0,1.0,--
2024-04-03,1.0001,1.0001,--
2024-04-10,0.9967,0.9967,--
2024-04-11,0.9889,0.9889,-0.78
2024-04-12,0.9671,0.9671,-2.2
2024-04-15,0.9714,0.9714,0.44
2024-04-16,0.9615,0.9615,-1.02
2024-04-17,0.9683,0.9683,0.71
2024-04-18,0.9746,0.9746,0.65
2024-04-19,0.975,0.975,0.04
2024-04-22,0.9769,0.9769,0.19
2024-04-23,0.9809,0.9809,0.41
2024-04-24,0.9901,0.9901,0.94
2024-04-25,0.9996,0.9996,0.96
2024-04-26,1.0082,1.0082,0.86
2024-04-29,1.0169,1.0169,0.86
2024-04-30,1.0136,1.0136,-0.32
2024-05-06,1.0297,1.0297,1.59
2024-05-07,1.0329,1.0329,0.31
2024-05-08,1.0242,1.0242,-0.84
2024-05-09,1.0369,1.0369,1.24
2024-05-10,1.078,1.078,3.96
2024-05-13,1.0914,1.0914,1.24
2024-05-14,1.0834,1.0834,-0.73
2024-05-15,1.0833,1.0833,-0.01
2024-05-16,1.1025,1.1025,1.77
2024-05-17,1.1132,1.1132,0.97
2024-05-20,1.1157,1.1157,0.22
2024-05-21,1.1054,1.1054,-0.92
2024-05-22,1.1066,1.1066,0.11
2024-05-23,1.0922,1.0922,-1.3
2024-05-24,1.081,1.081,-1.03
2024-05-27,1.0949,1.0949,1.29
2024-05-28,1.0948,1.0948,-0.01
2024-05-29,1.0802,1.0802,-1.33
2024-05-30,1.0668,1.0668,-1.24
2024-05-31,1.0618,1.0618,-0.47
2024-06-03,1.0748,1.0748,1.22
2024-06-04,1.077,1.077,0.2
2024-06-05,1.0702,1.0702,-0.63
2024-06-06,1.0727,1.0727,0.23
2024-06-07,1.079,1.079,0.59
2024-06-11,1.0541,1.0541,-2.31
2024-06-12,1.0504,1.0504,-0.35
2024-06-13,1.0555,1.0555,0.49
2024-06-14,1.0532,1.0532,-0.22
2024-06-17,1.0449,1.0449,-0.79
2024-06-18,1.0548,1.0548,0.95
2024-06-19,1.0771,1.0771,2.11
2024-06-20,1.0788,1.0788,0.16
2024-06-21,1.0638,1.0638,-1.39
2024-06-24,1.0641,1.0641,0.03
2024-06-25,1.07,1.07,0.55
2024-06-26,1.0707,1.0707,0.07
2024-06-27,1.0539,1.0539,-1.57
2024-06-28,1.0683,1.0683,1.37
2024-06-30,1.0683,1.0683,0
2024-07-01,1.0682,1.0682,-0.01
2024-07-02,1.0803,1.0803,1.13
2024-07-03,1.0863,1.0863,0.56
2024-07-04,1.092,1.092,0.52
2024-07-05,1.0799,1.0799,-1.11
2024-07-08,1.071,1.071,-0.82
2024-07-09,1.0702,1.0702,-0.07
2024-07-10,1.0565,1.0565,-1.28
2024-07-11,1.0694,1.0694,1.22
2024-07-12,1.0897,1.0897,1.9
