date,action,code,name,price,shares,deviation,value,reason
2026-01-05,买入,513530,华泰柏瑞港股通红利ETF,1.6075,6220.839813374806,-0.0474600910961962,10000.0,偏离度-4.75% < -3.0%（最低）
2026-01-28,换仓卖,513530,华泰柏瑞港股通红利ETF,1.6735,6220.839813374806,-0.002440994399721008,10410.575427682737,563020偏离度更低，差3.44%
2026-01-28,换仓买,563020,易方达红利低波 ETF,1.1717,8885.017860956506,-0.0368573123466448,10410.575427682737,偏离度最低-3.69%
